Dagur;Tími;ID;Námskeið;Bygging;Stofa;Fjöldi;Lengd prófs;Sérnemar;Fjöldinema; Hámarksæti; Fjöldinámskeiða
2019.12.9;13:30;09513920196;LIF110G;Haskolatorg;HT102;80;3;FALSE;80;85;1
2019.12.9;13:30;09513920196;LIF110G;Haskolatorg;HT103;25;3;FALSE;25;54;1
2019.12.9;13:30;09513920196;LIF110G;Haskolatorg;HT105;29;3;FALSE;58;85;2
2019.12.9;13:30;09513920196;LIF110G;Oddi;O201;21;3;FALSE;44;44;2
2019.12.9;13:30;09513920196;LIF110G;Stakkahlid_Klettur;K207;16;3;FALSE;25;25;2
2019.12.9;13:30;70871220196;LIF536M;Eirberg;E201C;1;3;FALSE;33;40;3
2019.12.9;13:30;70780520196;MAT303G;Arnagardur;A301;3;3;FALSE;25;48;3
2019.12.9;13:30;05260120196;GRI103G;Stakkahlid_Hamar;H206;5;3;FALSE;13;22;2
2019.12.9;13:30;05751320196;TYS310G;Arnagardur;A301;6;3;FALSE;25;48;3
2019.12.9;13:30;04530120196;HAG508G;Eirberg;E203C;8;3;FALSE;33;50;3
2019.12.9;13:30;04530120196;HAG508G;Stakkahlid_Klettur;K206;7;3;FALSE;20;20;2
2019.12.9;13:30;70359620196;HAG106G;Askja;Askja131;10;3;FALSE;30;30;2
2019.12.9;13:30;70359620196;HAG106G;Eirberg;E103C;17;3;FALSE;34;50;2
2019.12.9;13:30;70359620196;HAG106G;Eirberg;E201C;16;3;FALSE;33;40;3
2019.12.9;13:30;70359620196;HAG106G;Eirberg;E203C;17;3;FALSE;33;50;3
2019.12.9;13:30;70359620196;HAG106G;Stakkahlid_Klettur;K204;7;3;FALSE;20;20;2
2019.12.9;13:30;70359620196;HAG106G;Stakkahlid_Klettur;K208;9;3;FALSE;25;25;2
2019.12.9;13:30;70651320196;HJU135F;Eirberg;E103C;17;3;FALSE;34;50;2
2019.12.9;13:30;70651320196;HJU135F;Eirberg;E201C;16;3;FALSE;33;40;3
2019.12.9;13:30;10091920196;STJ301M;Askja;Askja130;7;3;FALSE;20;20;2
