param RoomPriority :=
A050	2
A051	2
A052	2
A069	2
A207	1
A218	2
A222	1
A225	1
A229	1
Askja130	2
Askja131	2
Askja166	2
A101	2
A201	1
A301	1
A303	2
A304	1
A310	2
A311	1
E101C	3
E103C	1
E201C	1
E203C	1
E301	3
E303	3
G101	1
H101	2
H201	1
H202	1
H203	1
H204	1
H205	1
H206	1
H207	1
H208	1
H209	1
HT102	1
HT103	1
HT104	1
HT105	1
HT204	1
HT302	1
HT315	2
K204	3
K205	3
K206	3
K207	3
K208	3
K-salur	1
K-salur_b	1
Stofa_2	2
L102	1
L103	1
L201	2
L204	2
L205	2
NG014	3
NG015	3
O102	1
O103	1
O201	2
O202	2
O301	1
V138	2
V147	2
V152	1
V258	1
V260	1
V261	1
;
end;
