#param hdef default 0 :=
#;


param SlotNames :=
1	'2.12.2016;09:00'
2	'2.12.2016;13:30'
3	'5.12.2016;09:00'
4	'5.12.2016;13:30'
5	'6.12.2016;09:00'
6	'6.12.2016;13:30'
7	'7.12.2016;09:00'
8	'7.12.2016;13:30'
9	'8.12.2016;09:00'
10	'8.12.2016;13:30'
11	'9.12.2016;09:00'
12	'9.12.2016;13:30'
13	'12.12.2016;09:00'
14	'12.12.2016;13:30'
15	'13.12.2016;09:00'
16	'13.12.2016;13:30'
17	'14.12.2016;09:00'
18	'14.12.2016;13:30'
19	'15.12.2016;09:00'
20	'15.12.2016;13:30'
21	'16.12.2016;09:00'
22	'16.12.2016;13:30'
;
